Date,Budget,Expense,Income ($),Expense ($),Source Tab,Matched Keyword,Matched Vendor,Reimbursable Trip,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17
3/11/2025,Entertainment,0240 WELLS FARGO ARENA DES MOINES IA,$0.00,$5.35,1,wells fargo arena,,FALSE,,,,,,,,,,,,,,,,,
2/16/2025,Retail,AB* ABEBOOKS.CO KPMY7Y SEATTLE WA,$0.00,$7.24,1,abebooks,,FALSE,,,,,,,,,,,,,,,,,FALSE
7/23/2025,Entertainment,ADVENTURELAND PARK,$0.00,$44.65,1,adventureland park,,FALSE,,,,,,,,,,,,,,,,,FALSE
7/23/2025,Entertainment,ADVENTURELAND PARK ALTOONA IA,$0.00,$74.88,1,adventureland park,,FALSE,,,,,,,,,,,,,,,,,FALSE
4/19/2025,Retail,AFFORDABLE COMPANY LEWISVILLE TX,$0.00,$291.95,1,affordable company,,FALSE,,,,,,,,,,,,,,,,,
7/15/2025,Restaurant,AGAVE AZTECA OMAHA NE,$0.00,$24.21,1,agave azteca,,FALSE,,,,,,,,,,,,,,,,,FALSE
2/16/2025,Groceries,Aldi 72035,$0.00,$42.64,2,aldi,,FALSE,,,,,,,,,,,,,,,,,FALSE
2/23/2025,Groceries,Aldi 72035,$0.00,$15.11,2,aldi,,FALSE,,,,,,,,,,,,,,,,,FALSE
3/7/2025,Groceries,Aldi 72035,$0.00,$7.92,2,aldi,,FALSE,,,,,,,,,,,,,,,,,FALSE
3/8/2025,Groceries,Aldi 72035,$0.00,$68.15,2,aldi,,FALSE,,,,,,,,,,,,,,,,,FALSE
4/28/2025,Groceries,Aldi 72035,$0.00,$29.43,2,aldi,,FALSE,,,,,,,,,,,,,,,,,FALSE
7/19/2025,Groceries,Aldi 72035,$0.00,$72.23,2,aldi,,FALSE,,,,,,,,,,,,,,,,,FALSE
8/31/2025,Groceries,Aldi 72035,$0.00,$22.28,2,aldi,,FALSE,,,,,,,,,,,,,,,,,FALSE
1/16/2025,Groceries,Aldi 72035,$0.00,$2.75,2,aldi,,FALSE,,,,,,,,,,,,,,,,,
1/17/2025,Groceries,Aldi 72035,$0.00,$45.99,2,aldi,,FALSE,,,,,,,,,,,,,,,,,
1/17/2025,Groceries,Aldi 72035,$0.00,$7.98,2,aldi,,FALSE,,,,,,,,,,,,,,,,,
1/17/2025,Groceries,Aldi 72035,$0.00,$6.99,2,aldi,,FALSE,,,,,,,,,,,,,,,,,
1/19/2025,Groceries,Aldi 72035,$0.00,$19.95,2,aldi,,FALSE,,,,,,,,,,,,,,,,,
1/25/2025,Groceries,Aldi 72035,$0.00,$31.58,2,aldi,,FALSE,,,,,,,,,,,,,,,,,
1/26/2025,Groceries,Aldi 72035,$0.00,$16.46,2,aldi,,FALSE,,,,,,,,,,,,,,,,,
2/1/2025,Groceries,Aldi 72035,$0.00,$87.57,2,aldi,,FALSE,,,,,,,,,,,,,,,,,
2/2/2025,Groceries,Aldi 72035,$0.00,$13.74,2,aldi,,FALSE,,,,,,,,,,,,,,,,,
2/8/2025,Groceries,Aldi 72035,$0.00,$24.22,2,aldi,,FALSE,,,,,,,,,,,,,,,,,
2/8/2025,Groceries,Aldi 72035,$0.00,$5.29,2,aldi,,FALSE,,,,,,,,,,,,,,,,,
2/9/2025,Groceries,Aldi 72035,$0.00,$13.66,2,aldi,,FALSE,,,,,,,,,,,,,,,,,
2/27/2025,Groceries,Aldi 72035,$0.00,$6.78,2,aldi,,FALSE,,,,,,,,,,,,,,,,,
3/15/2025,Groceries,Aldi 72035,$0.00,$29.32,2,aldi,,FALSE,,,,,,,,,,,,,,,,,
3/16/2025,Groceries,Aldi 72035,$0.00,$5.69,2,aldi,,FALSE,,,,,,,,,,,,,,,,,
3/17/2025,Groceries,Aldi 72035,$0.00,$12.66,2,aldi,,FALSE,,,,,,,,,,,,,,,,,
3/23/2025,Groceries,Aldi 72035,$0.00,$45.42,2,aldi,,FALSE,,,,,,,,,,,,,,,,,
3/23/2025,Groceries,Aldi 72035,$0.00,$6.86,2,aldi,,FALSE,,,,,,,,,,,,,,,,,
3/27/2025,Groceries,Aldi 72035,$0.00,$6.58,2,aldi,,FALSE,,,,,,,,,,,,,,,,,
3/29/2025,Groceries,Aldi 72035,$0.00,$15.96,2,aldi,,FALSE,,,,,,,,,,,,,,,,,
