Keyword,Example Description,Suggested Budget Label,Notes,Delete
abebooks,AB* ABEBOOKS.CO,Retail,Books,FALSE
adjustment-purchases,ADJUSTMENT-PURCHASES,Transfers,Card adjustment,FALSE
adobe,ADOBE,Subscriptions,software,FALSE
adventureland park,ADVENTURELAND PARK,Entertainment,Theme park,FALSE
affordable company,AFFORDABLE COMPANY LEWISVILLE TX,Retail,General retail (verify),FALSE
agave azteca,AGAVE AZTECA OMAHA NE,Restaurant,Dining out,FALSE
airport parking,KECK AIRPORT PARKING DES MOINES IA,Transportation,Airport parking,FALSE
aldi,ALDI 72035 ANKENY IA,Groceries,groceries,FALSE
amazon,AMAZON / AMAZON PRIME,Subscriptions,online purchases,FALSE
amazon mktpl,AMAZON MKTPL*...,Retail,Amazon marketplace,FALSE
amazon.com,Amazon.com*...,Retail,Amazon retail,FALSE
americana,TST*AMERICANA,Restaurant,restaurant,FALSE
ames chiropractic,AMES CHIROPRACTIC & WC,Health,chiropractic,FALSE
amigo mexican,Amigo Mexican Restaura,Restaurant,Restaurant,FALSE
ankeny hardware,ANKENY HARDWARE,Housing,hardware,FALSE
ankeny jaguars,SQ *ANKENY JAGUARS SHO ANKENY IA,Sports,School/Spirit wear,FALSE
ankeny sanitation,ANKENY SANITATION ANKENY IA,Utilities,Trash,FALSE
ankenyjrfootball,WEB AUTHORIZED PMT ankenyjrfootball,Sports,Sports/activities,FALSE
apple services,Apple Services,Subscriptions,App Store/iCloud/Media,FALSE
b-bops,B-BOPS,Restaurant,fast Restaurant,FALSE
backpocket,TST*BACKPOCKET PIN AND JOHNSTON IA,Entertainment,Arcade/Restaurant,FALSE
balanced health,BALANCED HEALTH,Health,wellness,FALSE
bandit burrito,TST*BANDIT BURRITO JOHNSTON IA,Restaurant,Dining out,FALSE
bb tuition mgmt,WEB AUTHORIZED PMT BB TUITION MGMT,Education,Tuition management,FALSE
beeline,BEELINE + BLUE,Retail,printing,FALSE
big head burger,BIG HEAD BURGER,Restaurant,restaurant,FALSE
bookemon,BOOKEMON,Retail,Photo book / publishing,FALSE
bountiful life,BOUNTIFUL LIFE HEALTH,Health,wellness,TRUE
breckenridge sport,SSV BRECKENRIDGE SPORT BRECKENRIDGE CO,Vacation,Ski rental/retail,FALSE
buc-ee's,BUC-EE'S #33 TEXAS CITY TX,Vacation,Travel fuel/Restaurant,FALSE
buffalo phil,BUFFALO PHILS,Restaurant,restaurant,FALSE
burger shed,BURGER SHED,Restaurant,restaurant,FALSE
butchart gardens,BUTCHART GARDENS,Vacation,Attraction (CAD),FALSE
c fresh market,C FRESH MARKET DES MOINES IA,Groceries,Groceries,FALSE
cancun grill,CANCUN GRILL,Restaurant,restaurant,FALSE
capital one,WEB AUTHORIZED PMT CAPITAL ONE,Transfers,Credit card payment,TRUE
capital orthopaedics,Capital Orthopaedics,Health,Medical,FALSE
caseys,CASEYS / KUM&GO / KWIK STAR,Transportation,fuel,FALSE
cedar valley medical,CEDAR VALLEY MEDICAL,Health,medical,TRUE
central iowa hospital,CENTRAL IOWA HOSPITAL,Health,medical,TRUE
central iowa orthodont,CENTRAL IOWA ORTHODONT ANKENY IA,Health,Orthodontics,FALSE
charleys philly,Charleys Philly Steaks,Restaurant,Dining out,FALSE
charter patagon,THE CHARTER PATAGON SEATTLE WA,Restaurant,Dining out,FALSE
chase credit crd,ELECTRONIC WITHDRAWAL CHASE CREDIT CRD,Transfers,Credit card payment,TRUE
chatgpt,OPENAI *CHATGPT,Subscriptions,software,FALSE
check,CHECK,Transfers,Manual check (categorize when payee known),FALSE
chick-fil-a,CHICK-FIL-A #03303 ANKENY IA,Restaurant,Restaurant,FALSE
chocolaterie stam,Sq *Chocolaterie Stam,Restaurant,Dessert / chocolate shop,FALSE
cinemark,CINEMARK 1132 BOXCON ALTOONA IA,Entertainment,"Movies (if concessions, keep Restaurant)",FALSE
cinergy metronet,WEB AUTHORIZED PMT CINERGY METRONET,Utilities,Internet,FALSE
city of ankeny,CITY OF ANKENY - AQUAT,Entertainment,swim passes,FALSE
city-market,CITY-MARKET BRECKENRIDGE,Vacation,groceries,FALSE
civic center,Sq *Civic Center,Entertainment,Performing arts tickets,FALSE
cleverbridge,cleverbridge Inc.,Subscriptions,"Software subscriptions (e.g., utilities, AV)",FALSE
coldstone,Coldstone,Restaurant,Dessert,FALSE
compass,COMPASSION INTERNATION,Giving,charity,FALSE
compassion,COMPASSION INTERNATION COLORADO SPRI CO,Giving,Charity,FALSE
cornbred barbecue,SQ *CORNBRED BARBECUE AMES IA,Restaurant,Restaurant,FALSE
culvers,CULVERS N ANKENY,Restaurant,eating out,FALSE
culvers n ankeny,Culvers N Ankeny,Restaurant,Dining out,FALSE
customer withdrawal,CUSTOMER WITHDRAWAL,Transfers,ATM/branch cash withdrawal,FALSE
daylight donuts,Daylight Donuts,Restaurant,Treats / breakfast,FALSE
daylight donuts,DAYLIGHT DONUTS,Restaurant,Breakfast,FALSE
des moines perf. arts,DES MOINES PERF. ARTS DES MOINES IA,Entertainment,Theater,FALSE
designed 2 move,DESIGNED 2 MOVE CHIROP,Health,chiropractic,FALSE
district 36,DISTRICT 36 WINE BAR,Restaurant,dining out,FALSE
do cpr,DO CPR ANKENY IA,Education,Training/Certification,FALSE
doc* iowa derm,IOWA DERM CLINIC,Health,dermatologist,FALSE
doc*iowa derm,DOC*IOWA DERM CLINIC ANKENY IA,Health,Dermatology,FALSE
dollar tree,DOLLAR TREE,Retail,misc retail,FALSE
